Date,Client_ID,Client_Name,Industry,Country,Product,Subscription_Type,Users_Count,Monthly_Recurring_Revenue,One_Time_Revenue,Discount_Percent,Churn_Risk_Score,Customer_Satisfaction_Score,Support_Tickets,Avg_Response_Time_Hours,Feature_Usage_Score,Contract_Length_Months,Renewal_Status,Sales_Rep,Lead_Source,Payment_Delay_Days,Marketing_Spend,Demo_Completed,Region
2026-06-05,C156,Nu7Apps,FinTech,India,CRM Pro,Monthly,160,4000,0,5,0.5,7,7,20,65,6,Renewed,Ravi,Ads,3,2200,Yes,South
2026-06-06,C157,Xi7Soft,Healthcare,USA,Support Desk,Annual,180,6000,800,12,0.3,8,4,15,72,12,Renewed,Anita,Referral,1,2700,Yes,North America
2026-06-07,C158,Omicron7Corp,Ecommerce,UK,Analytics Plus,Monthly,115,3700,0,0,0.6,6,9,30,55,6,Not Renewed,John,Organic,8,3200,Yes,Europe
2026-06-08,C159,Pi7Sys,Education,India,CRM Pro,Annual,200,6600,900,10,0.2,9,3,10,80,12,Renewed,Meena,Referral,2,2100,Yes,South
2026-06-09,C160,Rho7Ltd,Manufacturing,Germany,Support Desk,Monthly,110,3100,400,3,0.7,5,11,35,45,3,Not Renewed,Arjun,Cold Call,12,1200,No,Europe
2026-06-10,C161,Sigma7Tech,FinTech,India,CRM Pro,Annual,215,7000,1200,10,0.2,8,5,12,75,12,Renewed,Ravi,Referral,2,2000,Yes,South
2026-06-11,C162,Tau7Soft,Healthcare,USA,Analytics Plus,Monthly,145,3850,0,5,0.6,6,8,24,60,6,Not Renewed,Anita,Ads,10,5000,Yes,North America
2026-06-12,C163,Upsilon7Corp,Ecommerce,UK,CRM Pro,Annual,285,9700,2100,15,0.3,9,3,10,85,24,Renewed,John,Organic,0,3000,Yes,Europe
2026-06-13,C164,Phi7Sys,Education,India,Support Desk,Monthly,92,2700,500,0,0.7,5,12,36,40,3,Not Renewed,Meena,Cold Call,15,1000,No,South
2026-06-14,C165,Chi7Ltd,Manufacturing,Germany,Analytics Plus,Annual,225,7600,1500,8,0.4,7,6,18,70,18,Renewed,Arjun,Referral,5,2500,Yes,Europe
2026-06-15,C166,Psi7Apps,FinTech,India,CRM Pro,Monthly,165,4050,0,5,0.5,7,7,20,65,6,Renewed,Ravi,Ads,3,2200,Yes,South
2026-06-16,C167,Omega7Soft,Healthcare,USA,Support Desk,Annual,185,6100,800,12,0.3,8,4,15,72,12,Renewed,Anita,Referral,1,2700,Yes,North America
2026-06-17,C168,Alpha8Corp,Ecommerce,UK,Analytics Plus,Monthly,118,3750,0,0,0.6,6,9,30,55,6,Not Renewed,John,Organic,8,3200,Yes,Europe
2026-06-18,C169,Beta8Sys,Education,India,CRM Pro,Annual,205,6700,900,10,0.2,9,3,10,80,12,Renewed,Meena,Referral,2,2100,Yes,South
2026-06-19,C170,Gamma8Ltd,Manufacturing,Germany,Support Desk,Monthly,115,3200,400,3,0.7,5,11,35,45,3,Not Renewed,Arjun,Cold Call,12,1200,No,Europe
2026-06-20,C171,Delta8Tech,FinTech,India,CRM Pro,Annual,220,7100,1200,10,0.2,8,5,12,75,12,Renewed,Ravi,Referral,2,2000,Yes,South
2026-06-21,C172,Epsilon8Soft,Healthcare,USA,Analytics Plus,Monthly,150,3900,0,5,0.6,6,8,24,60,6,Not Renewed,Anita,Ads,10,5000,Yes,North America
2026-06-22,C173,Zeta8Corp,Ecommerce,UK,CRM Pro,Annual,290,9800,2100,15,0.3,9,3,10,85,24,Renewed,John,Organic,0,3000,Yes,Europe
2026-06-23,C174,Eta8Sys,Education,India,Support Desk,Monthly,95,2800,500,0,0.7,5,12,36,40,3,Not Renewed,Meena,Cold Call,15,1000,No,South
2026-06-24,C175,Theta8Ltd,Manufacturing,Germany,Analytics Plus,Annual,230,7700,1500,8,0.4,7,6,18,70,18,Renewed,Arjun,Referral,5,2500,Yes,Europe
2026-06-25,C176,Iota8Apps,FinTech,India,CRM Pro,Monthly,170,4100,0,5,0.5,7,7,20,65,6,Renewed,Ravi,Ads,3,2200,Yes,South
2026-06-26,C177,Kappa8Soft,Healthcare,USA,Support Desk,Annual,190,6200,800,12,0.3,8,4,15,72,12,Renewed,Anita,Referral,1,2700,Yes,North America
2026-06-27,C178,Lambda8Corp,Ecommerce,UK,Analytics Plus,Monthly,120,3800,0,0,0.6,6,9,30,55,6,Not Renewed,John,Organic,8,3200,Yes,Europe
2026-06-28,C179,Mu8Sys,Education,India,CRM Pro,Annual,210,6800,900,10,0.2,9,3,10,80,12,Renewed,Meena,Referral,2,2100,Yes,South
2026-06-29,C180,Nu8Ltd,Manufacturing,Germany,Support Desk,Monthly,120,3300,400,3,0.7,5,11,35,45,3,Not Renewed,Arjun,Cold Call,12,1200,No,Europe
2026-06-30,C181,Xi8Tech,FinTech,India,CRM Pro,Annual,225,7200,1200,10,0.2,8,5,12,75,12,Renewed,Ravi,Referral,2,2000,Yes,South
2026-07-01,C182,Omicron8Soft,Healthcare,USA,Analytics Plus,Monthly,155,3950,0,5,0.6,6,8,24,60,6,Not Renewed,Anita,Ads,10,5000,Yes,North America
2026-07-02,C183,Pi8Corp,Ecommerce,UK,CRM Pro,Annual,295,9900,2100,15,0.3,9,3,10,85,24,Renewed,John,Organic,0,3000,Yes,Europe
2026-07-03,C184,Rho8Sys,Education,India,Support Desk,Monthly,100,2900,500,0,0.7,5,12,36,40,3,Not Renewed,Meena,Cold Call,15,1000,No,South
2026-07-04,C185,Sigma8Ltd,Manufacturing,Germany,Analytics Plus,Annual,235,7800,1500,8,0.4,7,6,18,70,18,Renewed,Arjun,Referral,5,2500,Yes,Europe
2026-07-05,C186,Tau8Apps,FinTech,India,CRM Pro,Monthly,175,4150,0,5,0.5,7,7,20,65,6,Renewed,Ravi,Ads,3,2200,Yes,South
2026-07-06,C187,Upsilon8Soft,Healthcare,USA,Support Desk,Annual,195,6300,800,12,0.3,8,4,15,72,12,Renewed,Anita,Referral,1,2700,Yes,North America
2026-07-07,C188,Phi8Corp,Ecommerce,UK,Analytics Plus,Monthly,125,3850,0,0,0.6,6,9,30,55,6,Not Renewed,John,Organic,8,3200,Yes,Europe
2026-07-08,C189,Chi8Sys,Education,India,CRM Pro,Annual,215,6900,900,10,0.2,9,3,10,80,12,Renewed,Meena,Referral,2,2100,Yes,South
2026-07-09,C190,Psi8Ltd,Manufacturing,Germany,Support Desk,Monthly,125,3400,400,3,0.7,5,11,35,45,3,Not Renewed,Arjun,Cold Call,12,1200,No,Europe
2026-07-10,C191,Omega8Tech,FinTech,India,CRM Pro,Annual,230,,1200,10,0.2,8,5,12,75,12,Renewed,Ravi,Referral,2,2000,Yes,South
2026-07-11,C192,Alpha9Soft,Healthcare,USA,Analytics Plus,Monthly,160,,0,5,0.6,6,8,24,60,6,Not Renewed,Anita,Ads,10,5000,Yes,North America
2026-07-12,C193,Beta9Corp,Ecommerce,UK,CRM Pro,Annual,300,,2100,15,0.3,9,3,10,85,24,Renewed,John,Organic,0,3000,Yes,Europe
2026-07-13,C194,Gamma9Sys,Education,India,Support Desk,Monthly,105,,500,0,0.7,5,12,36,40,3,Not Renewed,Meena,Cold Call,15,1000,No,South
2026-07-14,C195,Delta9Ltd,Manufacturing,Germany,Analytics Plus,Annual,240,,1500,8,0.4,7,6,18,70,18,Renewed,Arjun,Referral,5,2500,Yes,Europe
2026-07-15,C196,Epsilon9Apps,FinTech,India,CRM Pro,Monthly,180,,0,5,0.5,7,7,20,65,6,Renewed,Ravi,Ads,3,2200,Yes,South
2026-07-16,C197,Zeta9Soft,Healthcare,USA,Support Desk,Annual,200,,800,12,0.3,8,4,15,72,12,Renewed,Anita,Referral,1,2700,Yes,North America
2026-07-17,C198,Eta9Corp,Ecommerce,UK,Analytics Plus,Monthly,130,,0,0,0.6,6,9,30,55,6,Not Renewed,John,Organic,8,3200,Yes,Europe
2026-07-18,C199,Theta9Sys,Education,India,CRM Pro,Annual,220,,900,10,0.2,9,3,10,80,12,Renewed,Meena,Referral,2,2100,Yes,South
2026-07-19,C200,Iota9Ltd,Manufacturing,Germany,Support Desk,Monthly,130,,400,3,0.7,5,11,35,45,3,Not Renewed,Arjun,Cold Call,12,1200,No,Europe


